event_id,timestamp,api_name,endpoint,http_method,user_id,client_type,request_size_bytes,response_size_bytes,response_time_ms,http_status_code,error_type,requests_per_minute_user,requests_per_minute_ip,concurrent_requests,cpu_usage_server_pct,memory_usage_server_pct,db_query_time_ms,rate_limit_triggered,authentication_type,retry_count,hour,day_of_week,is_weekend,is_night,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
API-20250605184029-WNET7JYMTC,2025-06-05 18:40:00,Loans,/status,POST,USR-99418,system,3106,2672,76.02,200,NONE,11,54,60,40.9,67.99,23.83,False,MFA,0,18,3,0,0,0,Normal,0,0.09195711791293092,0.06518624797727961,0.0019779073,0.2087072,0,0,0,0
API-20250517025336-XWNPYY7BDH,2025-05-17 02:53:00,Cards,/activate,POST,USR-30458,system,2516,8331,92.23,200,NONE,478,38,81,67.14,55.3,26.27,False,API_KEY,0,2,5,1,1,0,Normal,0,0.19077054961109555,0.3590102174456237,0.004594233,0.2087072,0,0,0,0
API-20250203012807-V6S1ER4723,2025-02-03 01:28:00,Accounts,/details,GET,USR-54188,web,4569,3860,101.89,200,NONE,3,36,23,37.13,37.9,37.28,False,OAuth2,0,1,0,0,1,0,Normal,0,0.20156377606891226,0.39013887402199604,0.0058452557,0.2087072,0,0,0,0
API-20250203115425-OPRM85XBGP,2025-02-03 11:54:00,Loans,/repay,GET,USR-31776,system,3069,13726,52.02,200,NONE,15,11,86,62.36,63.26,25.79,False,BASIC,0,11,0,0,0,0,Normal,0,0.10600714933818585,0.10719208061906713,0.002122169,0.2087072,0,0,0,0
API-20250315002955-AC19M60F0K,2025-03-15 00:29:00,Accounts,/details,POST,USR-55707,web,1479,5321,136.75,200,NONE,2,53,91,73.68,70.8,50.58,False,MFA,0,0,5,1,1,0,Normal,0,0.1792443536802044,0.3659211078536243,0.0070626587,0.1647493,0,0,0,0
API-20250426121658-2MEC56CV1R,2025-04-26 12:16:00,Auth,/refresh,DELETE,USR-35886,mobile,819,3289,67.87,200,NONE,18,25,9,42.61,49.79,14.19,False,BASIC,0,12,5,1,0,0,Normal,0,0.15677961556698622,0.23150980300711815,0.0047866227,0.23404242,0,0,0,0
API-20250429045153-TBXHVCXB25,2025-04-29 04:51:00,Loans,/repay,GET,USR-90479,web,1933,9160,66.49,200,NONE,22,37,97,67.62,68.07,18.12,False,API_KEY,0,4,1,0,1,0,Normal,0,0.15662541289146611,0.20793286391394938,0.0045513557,0.25739202,0,0,0,0
API-20250327173720-RYXOL7HCSM,2025-03-27 17:37:00,Auth,/login,GET,USR-68757,system,4223,5919,86.82,200,NONE,19,30,88,52.62,82.23,38.29,False,BASIC,0,17,3,0,0,0,Normal,0,0.10442007654832952,0.06935179593569497,0.0041851387,0.2397233,0,0,0,0
API-20250220174002-F9IP1I7KXR,2025-02-20 17:40:00,Loans,/repay,DELETE,USR-18793,system,2737,5428,123.61,200,NONE,1,54,66,67.55,49.91,45.99,False,API_KEY,0,17,3,0,0,0,Normal,0,0.1117079290377198,0.14067209832432817,0.005056738,0.18939495,0,0,0,0
API-20250419183446-X5B2UNMN9S,2025-04-19 18:34:00,Cards,/limit,GET,USR-24421,system,4292,639,51.51,200,NONE,27,49,58,44.2,61.25,15.29,False,JWT,0,18,5,1,0,0,Normal,0,0.09816712821915097,0.21013111428601586,0.0031147972,0.08125547,0,0,0,0
API-20250525155907-ABNYDYA2FC,2025-05-25 15:59:00,Loans,/repay,PUT,USR-73718,web,4277,8665,73.53,200,NONE,23,30,6,38.03,43.1,15.38,False,MFA,0,15,6,1,0,0,Normal,0,0.09226331352178153,0.2539707146561562,0.0031581514,0.019661075,0,0,0,0
API-20250201230821-RZZ0ZI9U73,2025-02-01 23:08:00,Payments,/history,GET,USR-25449,web,2472,13886,2525.2,504,TIMEOUT,9,59,96,72.76,76.54,2432.02,False,BASIC,0,23,5,1,1,1,Timeout,6,0.3411329513243861,0.8437985741949162,0.049158376,0.1304419,2,1,1,0
API-20250607111416-OD33Q7ZP9X,2025-06-07 11:14:00,Cards,/activate,DELETE,USR-86135,mobile,4376,6008,64.28,200,NONE,30,37,70,57.95,43.81,40.41,False,OAuth2,0,11,5,1,0,0,Normal,0,0.1362841402246035,0.2538483728851309,0.004942023,0.15006202,0,0,0,0
API-20250424143801-6BYAATDMQD,2025-04-24 14:38:00,Accounts,/balance,GET,USR-25302,system,3720,5242,107.4,200,NONE,18,41,70,50.14,74.99,23.63,False,BASIC,0,14,3,0,0,0,Normal,0,0.07990092293614923,0.05331495236440833,0.004225591,0.18216223,0,0,0,0
API-20250627081340-TS2DCY4PGQ,2025-06-27 08:13:00,Payments,/pay,POST,USR-18465,system,2152,7904,104.37,200,NONE,1,6,85,54.24,66.26,22.6,False,API_KEY,0,8,4,0,0,0,Normal,0,0.11201642307497976,0.12171845072084422,0.005918544,0.20841227,0,0,0,0
API-20250414150900-9J9BKCG1ML,2025-04-14 15:09:00,Accounts,/balance,GET,USR-29036,system,3655,3302,71.12,200,NONE,1,42,56,63.96,63.89,25.42,False,JWT,0,15,0,0,0,0,Normal,0,0.11260942029465103,0.11725264279198239,0.003054651,0.21752097,0,0,0,0
API-20250704232750-69POVCVCMB,2025-07-04 23:27:00,Payments,/history,DELETE,USR-16516,web,2555,14287,56.74,200,NONE,22,60,45,37.81,71.54,1.0,False,API_KEY,0,23,4,0,1,0,Normal,0,0.19043468307265946,0.3945415549593958,0.009971055,0.16679144,0,0,0,0
API-20250527101110-1XL9RKE5HH,2025-05-27 10:11:00,Accounts,/details,DELETE,USR-49543,mobile,3218,11027,44.26,200,NONE,19,33,85,68.49,51.1,30.56,False,BASIC,0,10,1,0,0,0,Normal,0,0.11952600701154859,0.15185239315223967,0.0036965765,0.20302905,0,0,0,0
API-20250705060736-TV70M7VAM4,2025-07-05 06:07:00,Auth,/refresh,DELETE,USR-64631,web,4440,4651,69.29,200,NONE,3,41,36,45.48,61.91,37.15,False,OAuth2,0,6,5,1,0,0,Normal,0,0.17701262108534932,0.23544053258896946,0.005203859,0.29039347,0,0,0,0
API-20250531095047-RRD3UVC8J1,2025-05-31 09:50:00,Loans,/repay,PUT,USR-70426,system,2603,14658,118.62,429,RATE_LIMIT,594,747,711,98.42,88.73,31.06,True,JWT,10,9,5,1,0,1,Abuse API,10,0.3832713640651151,0.7887730697307123,0.031077726,0.3299633,2,1,1,0
API-20250505014555-F5KK8OSFLW,2025-05-05 01:45:00,Auth,/logout,GET,USR-37139,system,1372,1781,2170.16,504,TIMEOUT,16,36,40,55.95,54.83,1288.16,False,BASIC,0,1,0,0,1,1,Timeout,6,0.3544919080205597,0.6532434483372679,0.022838354,0.38739392,2,1,0,1
API-20250614005903-WD3GFOP960,2025-06-14 00:59:00,Auth,/login,DELETE,USR-71103,web,2343,4628,78.82,429,RATE_LIMIT,277,964,948,90.54,90.8,47.79,True,BASIC,10,0,5,1,1,1,Abuse API,10,0.45459722911249817,0.849475441423989,0.01502426,0.499292,2,1,0,1
API-20250214020706-7HCTSN2O3E,2025-02-14 02:07:00,Loans,/repay,GET,USR-81567,web,3652,11069,80.88,200,NONE,30,47,19,45.41,49.23,23.6,False,OAuth2,0,2,4,0,1,1,Comportement anormal,0,0.2495461485472056,0.2174700874739835,0.0033024119,0.52786595,1,0,0,1
API-20250313085550-TJG9CCY0LP,2025-03-13 08:55:00,Auth,/logout,PUT,USR-71520,system,4199,2122,118.76,200,NONE,8,43,59,35.51,89.57,32.17,False,OAuth2,0,8,3,0,0,1,Comportement anormal,0,0.18625568872365506,0.20123175608137706,0.011840589,0.34569472,1,0,0,1
API-20250413195836-D0J4255UYO,2025-04-13 19:58:00,Auth,/refresh,PUT,USR-17187,system,2576,3630,60.49,200,NONE,8,53,87,71.44,56.39,35.53,False,MFA,0,19,6,1,0,0,Normal,0,0.14661238238549137,0.22853607279318292,0.0045316378,0.20676944,0,0,0,0
API-20250529052322-SMWF68VPBZ,2025-05-29 05:23:00,Cards,/block,PUT,USR-86249,system,1265,7601,61.38,200,NONE,5,19,15,46.34,55.89,16.31,False,JWT,0,5,3,0,1,0,Normal,0,0.08894657837107618,0.15830237874403116,0.004126358,0.104411,0,0,0,0
API-20250302223033-AJ2F3IZGZ2,2025-03-02 22:30:00,Loans,/status,DELETE,USR-38061,system,653,11659,65.08,200,NONE,27,47,57,37.79,64.5,30.32,False,OAuth2,0,22,6,1,0,0,Normal,0,0.12047582987722057,0.27872875562016064,0.0055523007,0.07714643,0,0,0,0
API-20250529233848-FR6RYYMCDW,2025-05-29 23:38:00,Payments,/pay,DELETE,USR-35312,mobile,1361,3091,91.27,200,NONE,12,20,54,46.07,77.02,30.41,False,MFA,0,23,3,0,1,0,Normal,0,0.17184905096691439,0.2926600727379795,0.0059366934,0.21695039,0,0,0,0
API-20250614234101-8VBLI7EK9S,2025-06-14 23:41:00,Auth,/logout,POST,USR-34196,mobile,4888,14266,28.81,200,NONE,14,32,37,54.23,54.95,21.1,False,JWT,0,23,5,1,1,0,Normal,0,0.19405483428649228,0.35534748916364084,0.011181461,0.21563555,0,0,0,0
API-20250513184720-NF8SDN3MBR,2025-05-13 18:47:00,Cards,/block,DELETE,USR-62921,system,2629,10803,4425.31,504,TIMEOUT,15,32,75,54.47,60.41,1695.88,False,API_KEY,0,18,1,0,0,1,Timeout,7,0.27811327189193696,0.6320663546394267,0.012191358,0.1900821,1,1,0,0
API-20250414103402-IZAFP6ISIQ,2025-04-14 10:34:00,Accounts,/update,DELETE,USR-78948,mobile,2066,8848,109.19,200,NONE,1,6,56,28.41,79.4,33.55,False,BASIC,0,10,0,0,0,0,Normal,0,0.16785429110955144,0.2379780654856845,0.01550914,0.25007567,0,0,0,0
API-20250217231050-8SJORCGHQC,2025-02-17 23:10:00,Cards,/block,GET,USR-75574,mobile,1022,6817,75.0,200,NONE,13,46,43,53.15,61.45,16.18,False,OAuth2,0,23,0,0,1,0,Normal,0,0.170393339269161,0.2790338147552304,0.0065909172,0.22555529,0,0,0,0
