event_id,timestamp,api_name,endpoint,http_method,user_id,client_type,request_size_bytes,response_size_bytes,response_time_ms,http_status_code,error_type,requests_per_minute_user,requests_per_minute_ip,concurrent_requests,cpu_usage_server_pct,memory_usage_server_pct,db_query_time_ms,rate_limit_triggered,authentication_type,retry_count,hour,day_of_week,is_weekend,is_night,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
API-20250706104541-NITV1ZHVF5,2025-07-06 10:45:00,Accounts,/details,PUT,USR-49740,web,2875,2772,4569.98,504,TIMEOUT,14,11,100,100.0,84.74,1071.92,False,OAuth2,0,10,6,1,0,1,Timeout,10,0.7382270557162238,0.8545260615578509,1.0,0.3601551,3,1,1,1
API-20250406172210-3CHTNB98UD,2025-04-06 17:22:00,Cards,/limit,PUT,USR-20249,web,3279,10460,112.75,429,RATE_LIMIT,713,1349,890,98.25,96.4,29.57,True,OAuth2,6,17,6,1,0,1,Abuse API,10,0.6234804088813836,0.8445197533645551,0.025921473,1.0,2,1,0,1
API-20250606025558-JLUJRDI5SC,2025-06-06 02:55:00,Accounts,/details,POST,USR-71151,web,1421,4185,91.03,429,RATE_LIMIT,559,1233,604,96.18,93.57,36.15,True,MFA,9,2,4,0,1,1,Abuse API,10,0.5797477213745389,0.8021063184604269,0.010697024,0.9264398,2,1,0,1
API-20250627233356-KA6OAX4E6A,2025-06-27 23:33:00,Payments,/history,PUT,USR-76488,web,4521,3637,89.26,429,RATE_LIMIT,715,1959,475,99.3,92.94,21.98,True,API_KEY,6,23,4,0,1,1,Abuse API,10,0.5719731162435769,0.9404605937591074,0.021835985,0.7536228,2,1,0,1
API-20250201201133-OVHIMWDN0Q,2025-02-01 20:11:00,Accounts,/balance,DELETE,USR-63426,web,522,14804,97.41,429,RATE_LIMIT,626,1957,859,88.86,95.68,49.57,True,JWT,7,20,5,1,0,1,Abuse API,10,0.5376187896143523,0.899990921217539,0.023218488,0.68964696,2,1,0,1
API-20250607192218-WTMKMXB8CJ,2025-06-07 19:22:00,Accounts,/update,POST,USR-48864,system,4447,1016,60.72,429,RATE_LIMIT,729,1268,360,91.79,85.54,28.53,True,BASIC,7,19,5,1,0,1,Abuse API,10,0.5220298261589758,0.7704394042184807,0.013387868,0.7822622,2,1,0,1
API-20250204090856-W2H6US8JPL,2025-02-04 09:08:00,Accounts,/details,GET,USR-35184,web,1177,13222,57.16,429,RATE_LIMIT,645,1891,367,85.69,89.2,21.27,True,OAuth2,8,9,1,0,0,1,Abuse API,10,0.5101241552547726,0.8230287048864702,0.033223037,0.6741207,3,1,1,1
API-20250508000134-1VX6WR24FA,2025-05-08 00:01:00,Auth,/mfa,PUT,USR-77808,system,684,12326,60.68,429,RATE_LIMIT,900,1584,349,91.56,96.92,23.35,True,BASIC,10,0,3,0,1,1,Abuse API,10,0.5030304889158058,0.8931017164962435,0.027166134,0.5888236,2,1,0,1
API-20250616134436-YH5UZJZHQ1,2025-06-16 13:44:00,Accounts,/update,GET,USR-68375,web,2711,1644,99.77,429,RATE_LIMIT,489,1228,722,82.13,92.14,40.24,True,BASIC,10,13,0,0,0,1,Abuse API,10,0.49775080318701886,0.7904572169617602,0.008117303,0.6946779,2,1,0,1
API-20250616190106-X5FUMET1O3,2025-06-16 19:01:00,Auth,/login,PUT,USR-37624,mobile,2434,3662,93.54,429,RATE_LIMIT,615,1042,704,84.03,97.57,29.7,True,OAuth2,9,19,0,0,0,1,Abuse API,10,0.49048620009406513,0.8033280599932107,0.010644459,0.6574861,2,1,0,1
API-20250507232813-WN01LV0FI9,2025-05-07 23:28:00,Accounts,/details,DELETE,USR-52317,web,4364,14979,79.84,429,RATE_LIMIT,520,1992,580,84.55,91.46,31.43,True,OAuth2,9,23,2,0,1,1,Abuse API,10,0.48819787457759684,0.9318096609465928,0.050442167,0.4823418,3,1,1,1
API-20250215233407-5BMCPMXVTZ,2025-02-15 23:34:00,Cards,/limit,DELETE,USR-58062,system,1134,2752,56.23,429,RATE_LIMIT,723,636,677,80.06,91.53,21.71,True,JWT,9,23,5,1,1,1,Abuse API,10,0.48709216698134244,0.8601904618479103,0.01986714,0.5812189,2,1,0,1
API-20250324012402-HBD9O4NBB8,2025-03-24 01:24:00,Payments,/transfer,PUT,USR-70928,system,4298,10121,82.85,429,RATE_LIMIT,434,1628,448,87.59,85.37,35.05,True,MFA,9,1,0,0,1,1,Abuse API,10,0.485869493174299,0.8518303534768354,0.01821032,0.5875678,2,1,0,1
API-20250712042332-H4ZW8OELCT,2025-07-12 04:23:00,Loans,/apply,PUT,USR-95910,system,4732,8339,98.08,429,RATE_LIMIT,782,1219,934,96.78,91.4,47.11,True,API_KEY,10,4,5,1,1,1,Abuse API,10,0.4856572769258875,0.9220524533612902,0.038315143,0.49660423,3,1,1,1
API-20250322182148-RHCDVLPFY0,2025-03-22 18:21:00,Loans,/repay,GET,USR-97364,web,2678,10703,94.82,429,RATE_LIMIT,731,1919,475,96.72,94.83,48.21,True,BASIC,4,18,5,1,0,1,Abuse API,10,0.4777038132166098,0.8270901173398586,0.018506147,0.5875152,2,1,0,1
API-20250310002909-KU2ZM9DH8I,2025-03-10 00:29:00,Accounts,/balance,PUT,USR-21761,system,1665,5759,38.78,429,RATE_LIMIT,390,1717,504,84.05,89.59,20.79,True,API_KEY,7,0,0,0,1,1,Abuse API,10,0.4735660846797935,0.8829771845097278,0.030397745,0.5073233,2,1,0,1
API-20250202021005-HKGC7RS3M8,2025-02-02 02:10:00,Payments,/transfer,PUT,USR-13684,system,1557,9512,130.66,429,RATE_LIMIT,557,595,791,96.77,99.76,44.48,True,JWT,4,2,6,1,1,1,Abuse API,10,0.46892533119875823,0.8535384156959841,0.028318128,0.52491945,2,1,0,1
API-20250323002922-UZ3Z0G0YP5,2025-03-23 00:29:00,Loans,/repay,PUT,USR-86401,system,4520,4625,91.31,429,RATE_LIMIT,837,1957,695,85.82,97.53,32.12,True,MFA,5,0,6,1,1,1,Abuse API,10,0.468801289943932,0.9330920097174601,0.018134672,0.4551772,2,1,0,1
API-20250211025517-YT0BZC3C1K,2025-02-11 02:55:00,Accounts,/balance,PUT,USR-24489,mobile,322,11059,27.12,429,RATE_LIMIT,613,1419,420,87.35,75.67,5.85,True,BASIC,10,2,1,0,1,1,Abuse API,10,0.46778873370596913,0.8993316521200284,0.036756933,0.46727762,3,1,1,1
API-20250308100927-6DHW1RT1UO,2025-03-08 10:09:00,Loans,/repay,POST,USR-14547,web,4394,14832,64.75,429,RATE_LIMIT,938,1867,694,98.38,77.99,28.45,True,API_KEY,9,10,5,1,0,1,Abuse API,10,0.4672058517044948,0.9069633392411967,0.07397605,0.42067817,3,1,1,1
API-20250412100645-8C9CBV5R4D,2025-04-12 10:06:00,Auth,/mfa,POST,USR-66879,mobile,2304,9796,4785.79,504,TIMEOUT,17,32,83,85.52,95.69,1402.0,False,API_KEY,0,10,5,1,0,1,Timeout,10,0.46565028505340395,0.7859812222962135,0.23234108,0.37862855,3,1,1,1
API-20250524230343-1VFCI2G7T3,2025-05-24 23:03:00,Auth,/logout,POST,USR-54236,web,2200,4893,29.35,429,RATE_LIMIT,479,1660,938,85.88,98.77,11.0,True,BASIC,10,23,5,1,1,1,Abuse API,10,0.46097956143486596,0.9178433412363558,0.018261524,0.44683382,2,1,0,1
API-20250220074756-KT72YSK7T8,2025-02-20 07:47:00,Accounts,/details,DELETE,USR-70791,web,4091,3752,73.08,429,RATE_LIMIT,893,1040,995,92.62,87.4,19.54,True,OAuth2,6,7,3,0,0,1,Abuse API,10,0.45935751454924256,0.808141209763131,0.02912349,0.54080784,2,1,0,1
API-20250420112306-FPJQQ73URQ,2025-04-20 11:23:00,Accounts,/balance,GET,USR-77061,web,1006,876,88.34,429,RATE_LIMIT,468,1772,877,87.89,89.15,43.44,True,API_KEY,7,11,6,1,0,1,Abuse API,10,0.457117222026989,0.8602993369877493,0.024088938,0.4869634,2,1,0,1
API-20250216105003-5A20GK4US1,2025-02-16 10:50:00,Accounts,/details,POST,USR-59449,web,1465,9385,37.3,429,RATE_LIMIT,725,1794,819,97.43,91.91,29.1,True,OAuth2,4,10,6,1,0,1,Abuse API,10,0.4554404802928973,0.8509792649181512,0.01690489,0.4984373,2,1,0,1
API-20250629034824-9TMB1IIEE1,2025-06-29 03:48:00,Loans,/repay,GET,USR-45997,mobile,548,12607,52.69,429,RATE_LIMIT,956,1948,748,92.17,96.55,35.29,True,JWT,9,3,6,1,1,1,Abuse API,10,0.45484738830757837,0.9411849873969765,0.05419453,0.36916265,3,1,1,1
API-20250614005903-WD3GFOP960,2025-06-14 00:59:00,Auth,/login,DELETE,USR-71103,web,2343,4628,78.82,429,RATE_LIMIT,277,964,948,90.54,90.8,47.79,True,BASIC,10,0,5,1,1,1,Abuse API,10,0.45459722911249817,0.849475441423989,0.01502426,0.499292,2,1,0,1
API-20250601054355-A6RK2AS31K,2025-06-01 05:43:00,Payments,/transfer,PUT,USR-90409,web,427,10814,56.56,429,RATE_LIMIT,1000,1570,341,81.15,98.65,13.98,True,API_KEY,7,5,6,1,1,1,Abuse API,10,0.45271149647164116,0.9791098794915606,0.07053067,0.30849394,2,1,1,0
API-20250320055858-98R5WJRT2G,2025-03-20 05:58:00,Cards,/activate,DELETE,USR-25906,system,703,9135,64.8,429,RATE_LIMIT,857,1910,761,91.32,98.92,23.64,True,MFA,3,5,3,0,1,1,Abuse API,10,0.4520686478247729,0.8454163218529483,0.044824947,0.46596467,3,1,1,1
API-20250323075643-WEKZ0NJRBZ,2025-03-23 07:56:00,Payments,/transfer,DELETE,USR-48797,mobile,4639,9860,88.11,429,RATE_LIMIT,285,817,379,97.69,79.21,35.05,True,API_KEY,10,7,6,1,0,1,Abuse API,10,0.4515781587031902,0.8550990963481132,0.029176336,0.47045904,2,1,0,1
