Event_id,Timestamp,Application_name,Server_instance,Environment,User_id,User_type,Endpoint,Http_method,Http_status_code,Response_time_ms,Db_query_time_ms,Cpu_usage_percent,Memory_usage_percent,Thread_pool_usage_percent,Db_connection_pool_usage,Error_code,Retry_count,Active_users_current,Transactions_per_minute,Cache_hit_ratio,Config_version,Deployment_version,Payload_size_bytes,Response_size_bytes,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
APP00001,6/19/2025 22:18,Mobile_app,MO07,Qa,S409,Auditor,/balance_alerts,PUT,401,236,193,40,49,67,48,NONE,0,2518,79,0.97,cfg_9,v2.5,3186,563,0,Normal,0,0.3061587866802544,0.44342260261164035,0.07466367,0.4003901,0,0,0,0
APP00002,6/16/2025 3:43,Notification_service,NO02,Prod,S908,Employee,/transaction_dispute,DELETE,409,1029,1348,20,30,53,52,DB_TIMEOUT,4,740,356,0.8,cfg_1,v3.4,3257,424,1,Timeout / lenteur DB,7,0.3828856018542506,0.6222384325740509,0.12602828,0.4003901,1,1,0,0
APP00003,9/15/2025 2:23,Notification_service,NO08,Prod,C265,Client,/statement_download,DELETE,404,167,160,42,46,78,36,NONE,4,4091,287,0.22,cfg_3,v3.0,1063,2561,0,Normal,0,0.2750020853411919,0.33215613863818844,0.09246003,0.4003901,0,0,0,0
APP00004,10/17/2025 3:20,Notification_service,NO11,Qa,S152,Auditor,/api_rate_limit,PUT,201,163,156,19,41,65,63,NONE,3,858,519,0.9,cfg_7,v3.4,4129,8152,0,Normal,0,0.2772339573539497,0.3660459119192365,0.06526587,0.4003901,0,0,0,0
APP00005,8/3/2025 0:09,Core_banking,CO14,Qa,S422,Employee,/logout,GET,403,1682,1354,27,41,55,55,DB_TIMEOUT,0,1351,875,0.3,cfg_7,v2.3,2511,6151,0,Normal,0,0.341301560842294,0.31529017669945514,0.113381304,0.5952332,0,0,0,0
APP00006,7/10/2025 12:05,Api_gateway,AP08,Qa,S890,Admin,/audit_logs,POST,404,391,175,40,41,82,100,NONE,2,3179,-35,0.89,cfg_6,v3.0,819,7235,0,Normal,0,0.33241102876874046,0.4913696954432795,0.09226041,0.41360298,0,0,0,0
APP00007,6/22/2025 4:23,Notification_service,NO06,Staging,S675,Auditor,/card_unblock,DELETE,401,483,175,33,33,68,100,NONE,4,1238,-16,0.22,cfg_4,v2.5,1689,4675,0,Normal,0,0.3124413796612629,0.33825651060015216,0.1815634,0.41750422,0,0,0,0
APP00008,8/27/2025 2:31,Core_banking,CO14,Prod,S75,System,/funds_transfer_internal,GET,409,216,231,36,46,79,65,NONE,0,4279,740,0.37,cfg_9,v3.4,1858,8090,0,Normal,0,0.2577724917694522,0.3523262147499898,0.03296681,0.38802445,0,0,0,0
APP00009,8/23/2025 22:35,Payment_gateway,PA14,Preprod,S262,Auditor,/card_activation,DELETE,502,227,167,42,38,70,54,NONE,3,3915,141,0.48,cfg_3,v3.5,2955,3089,0,Normal,0,0.25309063388574754,0.2977698823412847,0.024368647,0.43713337,0,0,0,0
APP00010,6/15/2025 1:46,Api_gateway,AP07,Qa,S323,Auditor,/logout,POST,201,246,196,42,55,59,54,NONE,1,3607,521,0.43,cfg_5,v3.2,4936,9635,0,Normal,0,0.2626913023532955,0.39293574394033204,0.03860547,0.3565327,0,0,0,0
APP00011,8/12/2025 18:57,Atm_system,AT07,Staging,C979,Client,/account_update,POST,409,223,233,22,43,60,62,NONE,2,1684,423,0.75,cfg_8,v2.4,3876,4860,0,Normal,0,0.1952499315401366,0.2648160950125607,0.040175915,0.28075778,0,0,0,0
APP00012,6/9/2025 22:37,Notification_service,NO16,Preprod,C921,Client,/limit_change_request,PUT,201,201,153,46,66,43,60,RATE_LIMIT_EXCEEDED,13,8416,230,0.46,cfg_1,v3.2,4663,4445,1,Comportement utilisateur anormal,4,0.3346164660569449,0.6309442034114658,0.08162588,0.29127932,1,1,0,0
APP00013,9/14/2025 23:42,Card_processing,CA04,Dev,S809,Admin,/transaction_history,PUT,500,186,159,32,38,79,56,NONE,3,3471,705,0.25,cfg_7,v1.0,2572,6769,0,Normal,0,0.34915690833653895,0.5419924472071496,0.14775668,0.3577216,0,0,0,0
APP00014,7/19/2025 7:29,Fraud_detection,FR15,Preprod,C322,Client,/currency_conversion,OPTIONS,403,158,213,23,35,72,72,NONE,0,1322,307,0.31,cfg_5,v1.4,3544,7620,0,Normal,0,0.22218318161743042,0.18324698514870275,0.059815343,0.42348722,0,0,0,0
APP00015,8/20/2025 18:50,Loan_management,LO09,Qa,S201,External_api,/reward_points,DELETE,503,802,164,59,70,100,37,NONE,0,2480,591,0.9,cfg_6,v1.4,739,3242,0,Normal,0,0.38969404412974545,0.512178776075531,0.21917698,0.43772638,0,0,0,0
APP00016,9/10/2025 23:04,Loan_management,LO08,Preprod,S773,Auditor,/loan_repay,OPTIONS,401,301,288,48,56,83,65,NONE,2,4933,379,0.44,cfg_5,v3.5,3447,8624,0,Normal,0,0.20850989349734053,0.18471161937121347,0.015086104,0.42573196,0,0,0,0
APP00017,6/4/2025 2:58,Payment_gateway,PA10,Qa,S89,External_api,/scheduled_payments,PUT,403,881,137,33,44,71,49,CONFIG_ERROR,4,3032,274,0.46,cfg_1,v1.0,4309,8595,0,Normal,0,0.3618576954087902,0.5442286671046285,0.15632682,0.3850176,0,0,0,0
APP00018,9/2/2025 19:13,Card_processing,CA17,Dev,S849,Admin,/transaction_dispute,PUT,409,239,206,45,51,89,66,NONE,1,4626,517,0.93,cfg_10,v1.5,2811,8728,0,Normal,0,0.3455723483698656,0.5159954680016905,0.1042641,0.41645747,0,0,0,0
APP00019,8/20/2025 17:52,Payment_gateway,PA13,Prod,S169,Employee,/currency_conversion,POST,429,123,150,36,54,71,58,AUTH_FAILED,14,5732,376,0.83,cfg_1,v2.0,4558,7398,1,Comportement utilisateur anormal,4,0.37882869338142844,0.5838067053302518,0.08643089,0.46624848,1,1,0,0
APP00020,6/25/2025 9:39,Atm_system,AT02,Staging,C157,Client,/loan_apply,DELETE,429,955,244,58,87,100,61,NONE,5,2297,250,0.56,cfg_10,v2.2,3106,3247,0,Normal,0,0.36903149813364644,0.3979303219899744,0.21505708,0.4941071,0,0,0,0
APP00021,8/23/2025 1:21,Payment_gateway,PA05,Prod,S169,Employee,/statement_download,OPTIONS,429,261,222,18,25,49,86,NONE,1,574,743,0.28,cfg_9,v2.1,1074,2332,0,Normal,0,0.4288501099592266,0.48595731134588055,0.18337691,0.6172161,0,0,0,0
APP00022,10/16/2025 10:07,Loan_management,LO10,Prod,C958,Client,/balance_alerts,POST,503,168,174,40,59,93,52,NONE,5,4880,127,0.67,cfg_2,v3.0,2620,6549,0,Normal,0,0.2700217374348059,0.156776169891183,0.0334967,0.61979234,0,0,0,0
APP00023,7/25/2025 3:18,Core_banking,CO15,Qa,S740,Auditor,/loan_repay,POST,401,201,80,35,43,66,51,NONE,3,3043,424,0.87,cfg_8,v3.2,1681,7681,0,Normal,0,0.20968911472620944,0.21851734216995178,0.05223349,0.3583165,0,0,0,0
