Event_id,Timestamp,Application_name,Server_instance,Environment,User_id,User_type,Endpoint,Http_method,Http_status_code,Response_time_ms,Db_query_time_ms,Cpu_usage_percent,Memory_usage_percent,Thread_pool_usage_percent,Db_connection_pool_usage,Error_code,Retry_count,Active_users_current,Transactions_per_minute,Cache_hit_ratio,Config_version,Deployment_version,Payload_size_bytes,Response_size_bytes,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
APP11226,8/14/2025 17:55,Mobile_app,MO13,Staging,S484,Admin,/voucher_redeem,POST,500,1070,202,100,100,100,50,NONE,1,4324,536,0.25,cfg_1,v3.1,3232,9898,1,Dégradation performance,10,0.6666502594933198,0.8074899434999484,0.60622114,0.5862397,2,1,1,0
APP02129,8/9/2025 14:48,Mobile_app,MO04,Staging,S790,External_api,/card_activation,DELETE,500,1257,181,79,96,100,64,NONE,1,4391,646,0.43,cfg_1,v1.2,3170,9026,1,Dégradation performance,10,0.6347132796286076,0.6215525490756421,0.3148771,0.9677102,2,1,0,1
APP05206,6/18/2025 3:25,Reporting,RE02,Dev,S515,Auditor,/card_activation,DELETE,401,1056,263,89,100,100,49,NONE,0,4986,188,0.98,cfg_8,v3.2,351,4880,1,Dégradation performance,10,0.6256070944502602,0.9181172289951592,0.3887396,0.56996447,2,1,1,0
APP00328,10/29/2025 7:29,Api_gateway,AP06,Dev,S499,Auditor,/fraud_check,POST,404,160,119,62,76,91,33,AUTH_FAILED,9,9534,466,0.98,cfg_9,v2.1,2112,1970,1,Mauvaise configuration pool,10,0.6085660952625079,0.9004023368052849,0.20512694,0.720169,1,1,0,0
APP03573,9/24/2025 22:12,Reporting,RE06,Staging,S902,External_api,/tax_payment,PATCH,503,322,344,83,69,77,91,AUTH_FAILED,10,8374,829,0.25,cfg_9,v1.3,1447,1181,1,Mauvaise configuration pool,10,0.6055678049891876,0.8492818832903166,0.4547757,0.51264584,2,1,1,0
APP04320,10/3/2025 2:10,Api_gateway,AP04,Qa,S454,Employee,/system_health,PUT,401,232,130,58,67,100,56,AUTH_FAILED,14,8201,834,0.96,cfg_3,v1.0,1816,5886,1,Mauvaise configuration pool,10,0.5914967447822459,0.880031880827298,0.33160418,0.5628542,1,1,0,0
APP11855,10/22/2025 23:29,Reporting,RE07,Qa,S224,Auditor,/statement_download,PUT,500,215,144,60,79,94,69,RATE_LIMIT_EXCEEDED,15,7902,747,0.31,cfg_10,v3.5,1916,4628,1,Mauvaise configuration pool,10,0.5908229366233966,0.8655277834209862,0.25821695,0.6487241,1,1,0,0
APP02094,10/23/2025 10:10,Api_gateway,AP14,Prod,S755,External_api,/kyc_update,DELETE,202,969,210,100,100,100,65,NONE,0,4469,981,0.22,cfg_8,v2.0,2547,5081,1,Dégradation performance,10,0.5779711750601629,0.6970439694687427,0.39223203,0.6446375,2,1,1,0
APP10401,11/7/2025 6:58,Api_gateway,AP14,Preprod,S771,Admin,/interest_rate_query,POST,201,991,165,87,100,100,60,NONE,5,4709,527,0.55,cfg_1,v2.0,2790,9266,1,Dégradation performance,10,0.5698072385180994,0.6365663621988907,0.31284285,0.7600125,1,1,0,0
APP08774,8/1/2025 22:30,Loan_management,LO18,Dev,S956,Admin,/tax_payment,GET,401,1201,215,79,95,100,64,NONE,1,3823,977,0.96,cfg_1,v1.5,2516,3923,1,Dégradation performance,10,0.5689108648709618,0.6075787481105813,0.41860554,0.6805483,2,1,1,0
APP09194,8/28/2025 2:01,Reporting,RE20,Staging,S820,Employee,/otp_resend,PATCH,201,1238,281,89,100,100,67,NONE,0,4702,835,0.29,cfg_2,v2.4,4991,9282,1,Dégradation performance,10,0.5654674499934241,0.831066617281832,0.34345123,0.5218845,1,1,0,0
APP04035,6/5/2025 22:19,Api_gateway,AP12,Preprod,S872,External_api,/card_block,POST,403,241,254,68,77,91,52,RATE_LIMIT_EXCEEDED,15,5159,30,0.91,cfg_6,v2.0,1676,7851,1,Mauvaise configuration pool,10,0.562677648660634,0.7602803617629231,0.3292236,0.598529,1,1,0,0
APP12402,8/22/2025 22:29,Api_gateway,AP08,Preprod,S790,Admin,/kyc_update,DELETE,200,1106,135,75,100,100,61,NONE,3,4100,499,0.74,cfg_4,v1.3,3343,7054,1,Dégradation performance,10,0.5625220642498359,0.5580213087830617,0.18072018,0.9488247,1,0,0,1
APP01481,7/5/2025 4:05,Mobile_app,MO01,Dev,S265,System,/bill_payment,PATCH,202,817,81,49,91,100,57,NONE,0,1046,751,0.34,cfg_8,v3.0,1735,8772,1,Dégradation performance,10,0.5594839251887277,0.5276307454262602,0.3816327,0.76918834,1,0,1,0
APP11861,6/3/2025 11:03,Fraud_detection,FR05,Dev,S322,System,/statement_download,DELETE,202,1184,240,96,96,100,65,NONE,0,4760,743,0.61,cfg_10,v3.4,1538,6481,1,Dégradation performance,10,0.5497211738130104,0.6629786562027489,0.35544667,0.6307382,2,1,1,0
APP12932,6/13/2025 15:52,Mobile_app,MO14,Dev,S22,External_api,/otp_verify,POST,404,1307,324,91,98,100,79,NONE,3,3570,851,0.35,cfg_3,v3.4,419,5840,1,Dégradation performance,10,0.54262442339434,0.5634208455375963,0.23984273,0.8246097,2,1,0,1
APP08956,7/29/2025 12:43,Payment_gateway,PA20,Staging,S481,Auditor,/deposit,PUT,400,1111,250,93,100,100,61,NONE,2,4840,658,0.95,cfg_10,v3.2,3897,8152,1,Dégradation performance,10,0.5402304348676606,0.7275905362752688,0.41084978,0.482251,2,1,1,0
APP12869,8/20/2025 1:19,Payment_gateway,PA04,Preprod,C726,Client,/account_unfreeze,GET,400,1413,244,87,100,100,72,NONE,5,3335,947,0.63,cfg_9,v3.1,3742,2958,1,Dégradation performance,10,0.5389833548872662,0.6180210111168005,0.28846893,0.7104601,1,1,0,0
APP02899,7/12/2025 7:59,Mobile_app,MO04,Staging,S177,Employee,/account_update,POST,500,1239,160,98,100,100,62,NONE,5,4886,690,0.98,cfg_6,v3.5,2398,1584,1,Dégradation performance,10,0.5371217607937278,0.6861985562688175,0.4668843,0.45828244,2,1,1,0
APP10273,6/27/2025 20:02,Reporting,RE19,Staging,S419,Employee,/voucher_redeem,GET,409,1007,166,71,97,100,47,NONE,4,4238,127,0.88,cfg_1,v1.1,1191,3180,1,Dégradation performance,10,0.5330787513693191,0.8498027664542251,0.44027865,0.30915484,2,1,1,0
APP08048,7/16/2025 0:41,Loan_management,LO18,Staging,S119,Admin,/bill_payment,POST,502,226,155,76,77,92,63,RATE_LIMIT_EXCEEDED,12,7864,474,0.64,cfg_10,v3.2,1090,1056,1,Mauvaise configuration pool,10,0.5304336939176569,0.6309119742872266,0.37724343,0.5831457,2,1,1,0
APP06098,10/2/2025 7:54,Notification_service,NO14,Preprod,S715,Admin,/system_health,GET,409,1793,229,73,92,100,79,NONE,2,3375,844,0.95,cfg_2,v3.4,571,3421,1,Dégradation performance,10,0.5278344514303531,0.6548228747645398,0.41480368,0.5138768,2,1,1,0
APP05613,8/26/2025 4:30,Loan_management,LO11,Qa,S359,Employee,/balance_alerts,POST,500,696,61,81,92,100,29,NONE,3,4227,61,0.95,cfg_9,v1.4,900,9728,1,Dégradation performance,10,0.5274713681984826,0.7287069996741069,0.34254888,0.5111582,1,1,0,0
