Event_id,Timestamp,Db_instance,Db_user,Query_type,Table_name,Rows_returned,Rows_modified,Execution_time_ms,Cpu_db_usage_percent,Memory_db_usage_percent,Lock_wait_time_ms,Deadlock_flag,Full_table_scan_flag,Index_usage_flag,Active_sessions,Connection_pool_usage_percent,Transaction_log_growth_mb,Backup_running_flag
DB00001,6/26/2025 17:02,DB02,report_user,INSERT,accounts,66,13,94.81,42.12,54.68,163,0,0,1,28,66.07,9,0
DB00002,4/23/2025 2:31,DB-CORE,report_user,SELECT,customers,40,10,83.21,39.09,46.7,175,0,0,1,21,61.53,18,0
DB00003,3/12/2025 1:46,DB-PAY,admin,SELECT,audit_logs,65,7,113.49,40.22,60.37,139,0,0,1,25,74.32,11,0
DB00004,6/15/2025 3:56,DB01,app_user,SELECT,transactions,70,1,157.53,51.95,53.99,217,0,0,1,39,100,1,0
DB00005,5/29/2025 2:28,DB-CORE,report_user,DELETE,cards,72,9,139.68,53.57,56.89,152,0,0,1,25,60.11,16,0
DB00006,4/14/2025 2:33,DB-PAY,app_user,SELECT,cards,101,0,96.85,47,50.11,153,0,0,1,29,79.58,0,0
DB00007,2/23/2025 17:57,DB01,report_user,INSERT,transactions,2430,93,582.54,69.76,73.1,164,0,0,1,30,81.21,137,0
DB00008,4/9/2025 2:13,DB-CORE,admin,DELETE,audit_logs,87,23,520.6,72.59,60.75,159,0,1,0,29,62.94,22,1
DB00009,7/11/2025 1:47,DB-PAY,app_user,DELETE,cards,142,28,104.46,50.25,50.87,163,0,0,1,28,72.5,33,0
DB00010,5/15/2025 5:35,DB01,app_user,DELETE,audit_logs,67,5,212.72,44.82,52.13,1121,1,0,1,27,64.46,9,0
DB00011,2/16/2025 11:36,DB01,etl_user,UPDATE,customers,95,35,104.92,36.28,45.05,627,0,0,1,27,47.5,61,0
DB00012,3/8/2025 12:48,DB-CORE,app_user,INSERT,payment_history,91,45,113.32,51.27,55.31,169,0,0,1,29,62.82,65,0
DB00013,3/27/2025 0:37,DB01,etl_user,UPDATE,transactions,60,9,124.98,42.75,55.07,186,0,0,1,29,58.17,9,0
DB00014,3/4/2025 3:42,DB-PAY,app_user,UPDATE,payment_history,85,36,80.75,30.44,49.83,120,0,0,1,22,60.61,60,1
DB00015,7/4/2025 23:03,DB01,report_user,SELECT,cards,32,6,42.54,33.92,49.42,254,0,0,1,22,49.72,6,0
DB00016,7/3/2025 16:16,DB02,app_user,SELECT,transactions,95,9,82.49,41.39,40.76,158,0,0,1,20,43.65,11,0
DB00017,3/29/2025 0:32,DB-CORE,etl_user,SELECT,payment_history,34,3,129.95,49.18,46.98,255,0,0,1,29,72.84,4,0
DB00018,2/21/2025 4:07,DB-PAY,etl_user,SELECT,loans,100,39,128.29,42.63,55.32,288,0,0,1,27,66.81,30,0
DB00019,5/22/2025 1:40,DB01,report_user,INSERT,cards,93,45,112.47,43.46,43.76,143,0,0,1,26,59.54,79,0
