Event_id,Timestamp,Db_instance,Db_user,Query_type,Table_name,Rows_returned,Rows_modified,Execution_time_ms,Cpu_db_usage_percent,Memory_db_usage_percent,Lock_wait_time_ms,Deadlock_flag,Full_table_scan_flag,Index_usage_flag,Active_sessions,Connection_pool_usage_percent,Transaction_log_growth_mb,Backup_running_flag,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
DB00001,6/26/2025 17:02,DB02,report_user,INSERT,accounts,66,13,94.81,42.12,54.68,163,0,0,1,28,66.07,9,0,0,Normal,0,0.14500228292087866,0.14207130972564672,0.0048611052,0.28807443,0,0,0,0
DB00002,4/23/2025 2:31,DB-CORE,report_user,SELECT,customers,40,10,83.21,39.09,46.7,175,0,0,1,21,61.53,18,0,0,Normal,0,0.1554329146205458,0.16273345496775887,0.015490855,0.28807443,0,0,0,0
DB00003,3/12/2025 1:46,DB-PAY,admin,SELECT,audit_logs,65,7,113.49,40.22,60.37,139,0,0,1,25,74.32,11,0,0,Normal,0,0.1570100252774027,0.1585422854711613,0.024413357,0.28807443,0,0,0,0
DB00004,6/15/2025 3:56,DB01,app_user,SELECT,transactions,70,1,157.53,51.95,53.99,217,0,0,1,39,100.0,1,0,0,Normal,0,0.23055029172387753,0.371627342214794,0.0319491,0.28807443,0,0,0,0
DB00005,5/29/2025 2:28,DB-CORE,report_user,DELETE,cards,72,9,139.68,53.57,56.89,152,0,0,1,25,60.11,16,0,0,Normal,0,0.1539334500743715,0.15161037666015867,0.05005471,0.26013526,0,0,0,0
DB00006,4/14/2025 2:33,DB-PAY,app_user,SELECT,cards,101,0,96.85,47.0,50.11,153,0,0,1,29,79.58,0,0,0,Normal,0,0.13412776141539662,0.08566956554876118,0.017814724,0.298899,0,0,0,0
DB00007,2/23/2025 17:57,DB01,report_user,INSERT,transactions,2430,93,582.54,69.76,73.1,164,0,0,1,30,81.21,137,0,1,Comportement anormal,0,0.5153338585877378,0.8979213460039973,0.14120299,0.50687724,2,1,1,0
DB00008,4/9/2025 2:13,DB-CORE,admin,DELETE,audit_logs,87,23,520.6,72.59,60.75,159,0,1,0,29,62.94,22,1,1,Mauvais Index,9,0.42803852233790174,0.6154084048719052,0.09367779,0.5750294,2,1,0,1
DB00009,7/11/2025 1:47,DB-PAY,app_user,DELETE,cards,142,28,104.46,50.25,50.87,163,0,0,1,28,72.5,33,0,0,Normal,0,0.19030174375430622,0.05527974324988965,0.0058147423,0.50981075,0,0,0,0
DB00010,5/15/2025 5:35,DB01,app_user,DELETE,audit_logs,67,5,212.72,44.82,52.13,1121,1,0,1,27,64.46,9,0,1,Deadlock,9,0.39877509019287866,0.5216557142589224,0.08465981,0.59000975,2,1,0,1
