Event_id,Timestamp,Db_instance,Db_user,Query_type,Table_name,Rows_returned,Rows_modified,Execution_time_ms,Cpu_db_usage_percent,Memory_db_usage_percent,Lock_wait_time_ms,Deadlock_flag,Full_table_scan_flag,Index_usage_flag,Active_sessions,Connection_pool_usage_percent,Transaction_log_growth_mb,Backup_running_flag,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
DB03726,3/30/2025 15:08,DB-PAY,etl_user,INSERT,transactions,217,104,848.26,76.98,61.94,339,0,1,0,41,100.0,94,1,1,Mauvais Index,10,0.7046392270943106,0.9763979640664401,0.47817165,0.6593481,3,1,1,1
DB11670,6/14/2025 23:42,DB-CORE,report_user,DELETE,audit_logs,163,65,158.79,35.06,46.81,444,1,0,1,21,47.46,118,1,1,Deadlock,10,0.5646249074066058,0.7604011575354263,0.120548405,0.81292516,2,1,0,1
DB05840,5/28/2025 19:40,DB02,report_user,DELETE,cards,223,87,290.29,52.27,59.73,651,1,0,1,33,98.37,96,1,1,Deadlock,10,0.5396130732460162,0.8848484312782708,0.2822302,0.4517606,2,1,1,0
DB05268,4/23/2025 1:53,DB01,etl_user,SELECT,cards,82,34,956.84,75.58,70.08,291,0,1,0,41,96.78,33,0,1,Mauvais Index,10,0.527982062089158,0.8107651650539425,0.31048965,0.46269137,2,1,1,0
DB12243,5/23/2025 13:20,DB02,report_user,UPDATE,transactions,97,6,132.11,34.74,59.38,1042,1,0,1,27,62.79,9,1,1,Deadlock,10,0.5154832772214512,0.7358963554499447,0.15035419,0.6601993,3,1,1,1
DB09350,5/14/2025 12:55,DB-CORE,etl_user,INSERT,transactions,121,7,262.32,57.37,47.96,971,1,0,1,35,100.0,11,1,1,Deadlock,10,0.5059783431315013,0.763801354147073,0.03712556,0.7170081,2,1,0,1
DB07612,7/9/2025 16:21,DB02,app_user,UPDATE,accounts,158,7,771.06,64.93,58.8,195,0,1,0,36,95.46,7,1,1,Mauvais Index,10,0.4951757970885189,0.787701408098862,0.17239834,0.52542764,3,1,1,1
DB05631,6/2/2025 2:19,DB-PAY,admin,DELETE,transactions,92,22,411.03,40.89,60.83,909,1,0,1,35,88.63,25,1,1,Deadlock,10,0.49011592692633954,0.7737134285718347,0.25344047,0.44319388,2,1,1,0
DB11829,6/26/2025 16:25,DB-CORE,report_user,SELECT,loans,820,19,429.75,49.9,50.4,332,0,1,0,42,100.0,12,0,1,Mauvais Index,10,0.47094361712612137,0.7375924804829783,0.20576167,0.4694767,2,1,1,0
DB00482,3/19/2025 0:13,DB02,app_user,UPDATE,accounts,86,0,260.29,55.12,53.66,696,1,0,1,25,72.59,0,1,1,Deadlock,10,0.4568123395200938,0.6517410799730927,0.32047874,0.3982172,2,1,1,0
