Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation
FW-20250424-EIM4HVL9,4/24/2025 6:23,185.98.76.218,185.222.111.69,30640,22943,UDP,DENY,16466,11268,55,2.82,RULE-3774,drop,vpn,vpn,24.99,0.38,23.18,30.77,1,TRUE
FW-20250617-2SY3OJTT,6/17/2025 13:02,185.74.138.2,10.125.52.56,36079,80,TCP,ALLOW,13814,9076,45,13.79,RULE-9710,accept,cloud,internal,23.39,1.15,16.76,32.54,14,FALSE
FW-20250624-U4MC5RM1,6/24/2025 14:48,172.16.70.140,10.4.206.207,4264,25,TCP,ALLOW,7943,13017,41,7.6,RULE-9361,accept,dmz,management,26.46,1.08,20.42,22.01,10,FALSE
FW-20250520-NYRUDRW1,5/20/2025 14:39,172.16.202.124,185.153.60.226,46684,22,TCP,ALLOW,4990479,28811,18431,7.84,RULE-9678,accept,dmz,external,622.66,0.14,85.54,94.94,6436,FALSE
FW-20250209-HSVGNZPO,2/9/2025 0:33,185.56.216.127,185.50.150.184,29120,0,ICMP,ALLOW,11460,15310,53,5.8,RULE-2793,accept,cloud,external,17,0.81,11.63,30.72,11,FALSE
FW-20250212-5OUGV6VP,2/12/2025 21:04,10.212.228.21,185.119.59.216,51855,22,TCP,ALLOW,3450904,10129,18371,3.85,RULE-8703,accept,internal,vpn,640.16,1.33,90.51,86.88,14325,TRUE
FW-20250205-ZYRC6V7O,2/5/2025 23:40,10.142.24.51,10.26.173.237,56254,443,TCP,ALLOW,13102,15457,57,9.63,RULE-2566,accept,management,internal,19.35,0.22,18.1,24.73,10,FALSE
FW-20250201-TP7QF4XD,2/1/2025 11:14,10.164.96.194,185.118.100.20,4323,0,ICMP,ALLOW,10983,9808,41,6.89,RULE-9302,accept,management,external,25.07,0.27,21.39,29.82,1,FALSE
FW-20250620-T4POKP5G,6/20/2025 7:32,10.223.143.13,10.30.208.87,17817,443,TCP,ALLOW,12539,13541,52,12.91,RULE-9803,accept,internal,internal,6.33,0.03,17.13,30.72,6,TRUE
FW-20250606-ZEWABKEE,6/6/2025 4:52,172.16.197.160,10.170.125.35,53934,5432,TCP,ALLOW,13317,11707,50,6.61,RULE-2672,accept,dmz,internal,33.78,0.78,31.35,24.88,1,FALSE
FW-20250226-35G1DHFA,2/26/2025 0:54,10.35.112.173,10.10.53.113,41231,443,TCP,ALLOW,9459,24359,67,18.39,RULE-6706,accept,management,management,28.18,0.81,25.79,35.08,17,FALSE
FW-20250220-GFBHIPGF,2/20/2025 2:21,185.181.157.250,10.175.161.12,3635,80,TCP,ALLOW,14117,13572,55,0.1,RULE-1281,accept,cloud,management,16.34,0.22,5.9,30.37,16,FALSE
FW-20250531-3QL85E09,5/31/2025 13:29,10.179.95.175,10.59.129.85,52719,22,TCP,ALLOW,100,22948,46,9.16,RULE-6446,accept,management,management,30.53,0.11,24.64,30.65,1,FALSE
FW-20250209-0YM786YE,2/9/2025 19:14,185.249.155.187,185.5.144.35,51594,80,TCP,ALLOW,17887,3438,42,2.1,RULE-1396,accept,external,cloud,20.72,1.03,22.99,33.96,10,FALSE
FW-20250209-CEWT7RO7,2/9/2025 15:08,185.129.64.236,185.11.115.235,45920,443,TCP,ALLOW,10370,8925,38,0.1,RULE-7365,accept,cloud,external,24.19,0.34,22.21,29.65,13,FALSE
FW-20250611-67HC0H1D,6/11/2025 19:49,172.16.85.250,172.16.71.174,22732,40747,TCP,DENY,6856,15755,45,7.49,RULE-8679,drop,dmz,dmz,17.62,0.1,18.43,31.09,18,FALSE
FW-20250309-16V2RJTZ,3/9/2025 17:50,185.70.180.88,185.222.23.104,26679,53,UDP,ALLOW,7759,17489,50,13.13,RULE-7000,accept,vpn,vpn,27.82,0.92,21.78,29.36,24,TRUE
FW-20250302-0MT0Z1K1,3/2/2025 18:52,172.16.162.76,185.184.74.118,51614,3389,TCP,ALLOW,8650,7543,32,9,RULE-2960,accept,dmz,external,24.1,0.13,27.39,34.28,1,FALSE
