Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
FW-20250424-EIM4HVL9,4/24/2025 6:23,185.98.76.218,185.222.111.69,30640,22943,UDP,DENY,16466,11268,55,2.82,RULE-3774,drop,vpn,vpn,24.99,0.38,23.18,30.77,1,True,1,Port inhabituel,8,0.32288610214954133,0.6442378841330264,0.059307903,0.26511252,1,1,0,0
FW-20250617-2SY3OJTT,6/17/2025 13:02,185.74.138.2,10.125.52.56,36079,80,TCP,ALLOW,13814,9076,45,13.79,RULE-9710,accept,cloud,internal,23.39,1.15,16.76,32.54,14,False,0,Normal,0,0.10572403554543346,0.04452303731961516,0.00753655,0.26511252,0,0,0,0
FW-20250624-U4MC5RM1,6/24/2025 14:48,172.16.70.140,10.4.206.207,4264,25,TCP,ALLOW,7943,13017,41,7.6,RULE-9361,accept,dmz,management,26.46,1.08,20.42,22.01,10,False,0,Normal,0,0.12937016509986474,0.11801643123527028,0.004981545,0.26511252,0,0,0,0
FW-20250520-NYRUDRW1,5/20/2025 14:39,172.16.202.124,185.153.60.226,46684,22,TCP,ALLOW,4990479,28811,18431,7.84,RULE-9678,accept,dmz,external,622.66,0.14,85.54,94.94,6436,False,1,DDoS,10,0.38860270683291187,0.8529584498501607,0.04773715,0.26511252,1,1,0,0
FW-20250209-HSVGNZPO,2/9/2025 0:33,185.56.216.127,185.50.150.184,29120,0,ICMP,ALLOW,11460,15310,53,5.8,RULE-2793,accept,cloud,external,17.0,0.81,11.63,30.72,11,False,0,Normal,0,0.1933484887727939,0.133620101965619,0.010803328,0.43562204,0,0,0,0
FW-20250212-5OUGV6VP,2/12/2025 21:04,10.212.228.21,185.119.59.216,51855,22,TCP,ALLOW,3450904,10129,18371,3.85,RULE-8703,accept,internal,vpn,640.16,1.33,90.51,86.88,14325,True,1,DDoS,10,0.4897480622162231,0.8723057106822156,0.12526898,0.4716695,2,1,1,0
FW-20250205-ZYRC6V7O,2/5/2025 23:40,10.142.24.51,10.26.173.237,56254,443,TCP,ALLOW,13102,15457,57,9.63,RULE-2566,accept,management,internal,19.35,0.22,18.1,24.73,10,False,1,Comportement anormal,4,0.2619686263745098,0.1184107797615435,0.007209865,0.66028523,1,0,0,1
FW-20250201-TP7QF4XD,2/1/2025 11:14,10.164.96.194,185.118.100.20,4323,0,ICMP,ALLOW,10983,9808,41,6.89,RULE-9302,accept,management,external,25.07,0.27,21.39,29.82,1,False,1,Comportement anormal,4,0.28076734076014154,0.1360737912005482,0.008729194,0.69749904,1,0,0,1
FW-20250620-T4POKP5G,6/20/2025 7:32,10.223.143.13,10.30.208.87,17817,443,TCP,ALLOW,12539,13541,52,12.91,RULE-9803,accept,internal,internal,6.33,0.03,17.13,30.72,6,True,0,Normal,0,0.1867409382223593,0.11865790641591156,0.011265835,0.43029907,0,0,0,0
FW-20250606-ZEWABKEE,6/6/2025 4:52,172.16.197.160,10.170.125.35,53934,5432,TCP,ALLOW,13317,11707,50,6.61,RULE-2672,accept,dmz,internal,33.78,0.78,31.35,24.88,1,False,0,Normal,0,0.1568620675968633,0.1451642054446059,0.014038243,0.31138375,0,0,0,0
FW-20250226-35G1DHFA,2/26/2025 0:54,10.35.112.173,10.10.53.113,41231,443,TCP,ALLOW,9459,24359,67,18.39,RULE-6706,accept,management,management,28.18,0.81,25.79,35.08,17,False,0,Normal,0,0.14817882213649672,0.22622189882867108,0.008839691,0.20947488,0,0,0,0
FW-20250220-GFBHIPGF,2/20/2025 2:21,185.181.157.250,10.175.161.12,3635,80,TCP,ALLOW,14117,13572,55,0.1,RULE-1281,accept,cloud,management,16.34,0.22,5.9,30.37,16,False,0,Normal,0,0.14383833511094404,0.2187221785163925,0.024633927,0.1881589,0,0,0,0
FW-20250531-3QL85E09,5/31/2025 13:29,10.179.95.175,10.59.129.85,52719,22,TCP,ALLOW,100,22948,46,9.16,RULE-6446,accept,management,management,30.53,0.11,24.64,30.65,1,False,0,Normal,0,0.11147408641374361,0.16382860077906403,0.012222955,0.1583707,0,0,0,0
FW-20250209-0YM786YE,2/9/2025 19:14,185.249.155.187,185.5.144.35,51594,80,TCP,ALLOW,17887,3438,42,2.1,RULE-1396,accept,external,cloud,20.72,1.03,22.99,33.96,10,False,0,Normal,0,0.09662859987957316,0.14388015145042649,0.007661837,0.13834381,0,0,0,0
FW-20250209-CEWT7RO7,2/9/2025 15:08,185.129.64.236,185.11.115.235,45920,443,TCP,ALLOW,10370,8925,38,0.1,RULE-7365,accept,cloud,external,24.19,0.34,22.21,29.65,13,False,0,Normal,0,0.06951739128689761,0.05716088606076824,0.0039615086,0.14742978,0,0,0,0
FW-20250611-67HC0H1D,6/11/2025 19:49,172.16.85.250,172.16.71.174,22732,40747,TCP,DENY,6856,15755,45,7.49,RULE-8679,drop,dmz,dmz,17.62,0.1,18.43,31.09,18,False,1,Port inhabituel,8,0.2289122707391674,0.4897445136293455,0.018398901,0.1785934,1,1,0,0
