Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation,is_anomaly,Anomaly_type,Risk,composite_score,IF_score,AE_score,LSTM_score,ensemble_votes,IF_anomaly,AE_anomaly,LSTM_anomaly
FW-20250414-XTSUXO7L,4/14/2025 10:38,185.154.164.143,10.120.190.18,4298,25,TCP,DENY,3330259,3967,14133,0.1,RULE-9778,drop,external,internal,582.57,0.0,97.12,81.09,19018,False,1,DDoS,10,0.7637570089702113,0.8797773678911633,0.55873984,0.8527538,3,1,1,1
FW-20250315-D92TWU5K,3/15/2025 6:18,185.216.73.210,10.238.225.59,16650,0,ICMP,DENY,1444218,1238,12011,12.31,RULE-3394,drop,external,internal,274.46,0.47,91.5,99.2,15078,False,1,DDoS,10,0.729782695058563,0.9512352331983408,1.0,0.23811285,2,1,1,0
FW-20250201-8GX38IF0,2/1/2025 16:52,10.2.212.124,185.148.120.37,62007,0,ICMP,ALLOW,2389101,4133,19009,0.1,RULE-6619,accept,management,cloud,691.82,0.93,87.85,81.42,10160,False,1,DDoS,10,0.7182615667594989,0.883056959513879,0.4896223,0.78210545,3,1,1,1
FW-20250629-WVPOZLZR,6/29/2025 3:10,185.97.177.241,10.127.184.184,11689,53,UDP,DENY,4694879,7305,14698,16.76,RULE-8583,drop,external,internal,582.74,0.94,94.97,96.21,16366,False,1,DDoS,10,0.7159281163547663,0.9999999967617478,0.46499878,0.6827856,3,1,1,1
FW-20250605-04O4CFGZ,6/5/2025 2:26,172.16.165.193,172.16.169.183,28847,80,TCP,ALLOW,4811610,18543,19974,10.55,RULE-7760,accept,dmz,dmz,616.19,0.67,99.01,99.71,17546,False,1,DDoS,10,0.7052406585535111,0.8881671179296678,0.47927165,0.7482832,3,1,1,1
FW-20250322-KPVZRMM4,3/22/2025 18:29,185.106.125.65,10.34.208.124,34166,25,TCP,DENY,4277040,17140,15245,6.27,RULE-3296,drop,external,internal,483.52,1.39,86.49,99.73,12190,False,1,DDoS,10,0.7015964606203823,0.8879549559349383,0.57900757,0.63782686,3,1,1,1
FW-20250329-GMEHBD1T,3/29/2025 13:11,185.198.157.254,10.174.132.76,41355,0,ICMP,DENY,2988953,14577,19961,20.14,RULE-5096,drop,external,internal,313.22,0.6,87.4,94.59,13867,False,1,DDoS,10,0.6868072126411935,0.9821236056397975,0.49315733,0.5851407,3,1,1,1
FW-20250202-DQS53C5A,2/2/2025 23:47,185.237.75.199,10.47.87.138,28117,53,UDP,DENY,1142840,20039,17294,4.79,RULE-5190,drop,external,internal,553.21,0.68,88.45,96.16,9623,False,1,DDoS,10,0.6427189999243765,0.9561923722687807,0.36735472,0.6046099,3,1,1,1
FW-20250621-47D47EYV,6/21/2025 14:47,185.60.229.19,185.234.23.210,44589,53,UDP,ALLOW,4646966,5627,6168,8.61,RULE-1008,accept,vpn,cloud,383.72,0.0,85.85,81.52,7330,True,1,DDoS,10,0.627885697984699,0.8340271076679335,0.65072954,0.39890045,2,1,1,0
FW-20250518-JTUAJ6ON,5/18/2025 23:01,10.196.193.89,185.80.205.16,3957,53,UDP,ALLOW,3883896,100,12251,5.21,RULE-6704,accept,management,external,221.3,0.0,99.9,99.98,19838,False,1,DDoS,10,0.6271007365773004,0.9403778334825877,0.4167544,0.52417,3,1,1,1
