event_id,timestamp,api_name,endpoint,http_method,user_id,client_type,request_size_bytes,response_size_bytes,response_time_ms,http_status_code,error_type,requests_per_minute_user,requests_per_minute_ip,concurrent_requests,cpu_usage_server_pct,memory_usage_server_pct,db_query_time_ms,rate_limit_triggered,authentication_type,retry_count
API-20250605184029-WNET7JYMTC,6/5/2025 18:40,Loans,/status,POST,USR-99418,system,3106,2672,76.02,200,NONE,11,54,60,40.9,67.99,23.83,FALSE,MFA,0
API-20250517025336-XWNPYY7BDH,5/17/2025 2:53,Cards,/activate,POST,USR-30458,system,2516,8331,92.23,200,NONE,478,38,81,67.14,55.3,26.27,FALSE,API_KEY,0
API-20250203012807-V6S1ER4723,2/3/2025 1:28,Accounts,/details,GET,USR-54188,web,4569,3860,101.89,200,NONE,3,36,23,37.13,37.9,37.28,FALSE,OAuth2,0
API-20250203115425-OPRM85XBGP,2/3/2025 11:54,Loans,/repay,GET,USR-31776,system,3069,13726,52.02,200,NONE,15,11,86,62.36,63.26,25.79,FALSE,BASIC,0
API-20250315002955-AC19M60F0K,3/15/2025 0:29,Accounts,/details,POST,USR-55707,web,1479,5321,136.75,200,NONE,2,53,91,73.68,70.8,50.58,FALSE,MFA,0
API-20250426121658-2MEC56CV1R,4/26/2025 12:16,Auth,/refresh,DELETE,USR-35886,mobile,819,3289,67.87,200,NONE,18,25,9,42.61,49.79,14.19,FALSE,BASIC,0
API-20250429045153-TBXHVCXB25,4/29/2025 4:51,Loans,/repay,GET,USR-90479,web,1933,9160,66.49,200,NONE,22,37,97,67.62,68.07,18.12,FALSE,API_KEY,0
API-20250327173720-RYXOL7HCSM,3/27/2025 17:37,Auth,/login,GET,USR-68757,system,4223,5919,86.82,200,NONE,19,30,88,52.62,82.23,38.29,FALSE,BASIC,0
API-20250220174002-F9IP1I7KXR,2/20/2025 17:40,Loans,/repay,DELETE,USR-18793,system,2737,5428,123.61,200,NONE,1,54,66,67.55,49.91,45.99,FALSE,API_KEY,0
API-20250419183446-X5B2UNMN9S,4/19/2025 18:34,Cards,/limit,GET,USR-24421,system,4292,639,51.51,200,NONE,27,49,58,44.2,61.25,15.29,FALSE,JWT,0
API-20250525155907-ABNYDYA2FC,5/25/2025 15:59,Loans,/repay,PUT,USR-73718,web,4277,8665,73.53,200,NONE,23,30,6,38.03,43.1,15.38,FALSE,MFA,0
